ru,en
"Например, магнитные свойства могут проявляться только в определенном интервале температур, газовые свойства окружающей среды могут влиять на структурные особенности полимеров, некоторые материалы подвергаются сильному окислению на воздухе и их изучение предпочтительно проводить в вакууме и т.д.","For example, magnetic properties can manifest themselves only in a certain temperature range; gas properties of environment may affect the structural features of polymers; some materials are subjected to strong oxidation in air, and it is preferred to study them in vacuum; etc."
"Добиться требуемых условий экспериментов помогает специальное оборудование, которое адаптируют под определенную исследовательскую установку или проектируют установку с учетом размещения специализированного оборудования.",Necessary experimental conditions can be implemented when special equipment adapted to a certain research system is used or a system is projected with allowance for future arrangement of specialized equipment.
,
"Если говорить о методе НР, то наличие того или иного дополнительного оборудования определяет широту возможностей установки и таким образом способствует ее максимально эффективной эксплуатации.","Concerning the NR method, the presence of particular additional equipment determines the range of possibilities of the measurement instrument and thus promotes its maximally efficient operation."
"Определенный набор устройств, размещаемых на большинстве рефлектометров во всем мире, превратился в стандартные атрибуты, которые должны обязательно иметься на установке по умолчанию.",A certain set of devices that are present on most of reflectometers throughout the world has turned into a standard attribute that a measurement system must have on default.
"Прежде всего это устройства, обеспечивающие поляризацию пучка нейтронов и управление ею, а также магнитная система, обеспечивающая магнитное поле на образце требуемой величины и направления.","These are primarily the devices providing neutron beam polarization and control of this polarization, as well as a magnetic system inducing a magnetic field of desired magnitude and direction on a sample."
"Реализация этих устройств может отличаться от установки к установке, но их наличие в настоящее время стало обязательным.","The implementation of these devices may differ from system to system, but they are necessary now."
"Это легко объясняется значительными возможностями метода РПН для изучения магнетизма наноструктурированных систем, что является одной из областей, где нейтронные методы исследования имеют возможности, недоступные методам, основанным на рассеянии синхротронного излучения.",This can easily be explained by the high potential of polarized neutron reflectometry for studying the magnetism of nanostructured systems; this is one of the regions where neutron methods of study have possibilities inaccessible for the methods based on synchrotron radiation scattering.
,
"Необходимо отметить, что подавляющее количество экспериментов по исследованию магнетизма наноструктур методами НР требует низкотемпературных измерений в магнитных полях.",It should be noted that the overwhelming majority of NR experiments aimed at studying the magnetism of nanostructures call for low-temperature measurements in magnetic fields.
"Такая возможность на сегодня реализована в России только на рефлектометре РЕМУР, где есть Orange (ILL) криостат, совмещенный с криомагнитом.","Today, this possibility is implemented in Russia only on the REMUR reflectometer, which includes an Orange cryostat (ILL) combined with a cryomagnet."
"Этот криостат в значительной мере устарел (эксплуатация в течение 20 лет), требует большого расхода гелия, поэтому представляется необходимым переход на криостаты замкнутого цикла, удобные и экономичные в эксплуатации.","This cryostat is greatly out of date (has been in operation for 20 years) and is characterized by high helium consumption; therefore, it appears necessary to turn to closed-cycle cryostats, which are convenient and economical in operation."
"Установка подобного оборудования предусматривается на всех действующих и будущих рефлектометрах, на которых планируется изучение магнетизма.",Such equipment will be installed on all functioning and future reflectometers that are planned to use in magnetism studies.
,
Изучение некоторых особенностей магнитного поведения в наноструктурированных объектах требует создания нестандартной поляризации нейтронов.,The analysis of some specific features of the magnetic behavior in nanostructured objects calls for creating a nonstandard neutron polarization.
"Наиболее перспективными материалами для следующего поколения устройств наноспинтроники считаются наноструктуры, в которых наблюдаются топологически стабильные спиновые конфигурации, например скирмионы [60–62].","The most promising materials for the next generation of nanospintronic devices are nanostructures exhibiting topologically stable spin configurations, e.g., skyrmions [60–62]."
"Для того чтобы детектировать такие структуры методами нейтронной рефлектометрии, необходимо реализовать возможность нестандартной поляризации нейтронов, аналогичной циркулярной поляризации рентгеновского излучения, т.е. поляризация нейтронного пучка должна прецессировать в зависимости от времени.","To detect such structures by NR methods, one must provide a possibility of nonstandard neutron polarization, similar to circular X-ray polarization; i.e., the neutron beam polarization should precess in time."
"Теоретическая основа рефлектометрии с ларморовской прецессией спина нейтрона хорошо разработана [63], но пока не реализована как постоянно действующая опция ни на одном рефлектометре.","The theoretical fundamentals of the reflectometry with Larmor neutron spin precession were elaborated well in [63]; however, this reflectometry version has not been implemented yet as a permanent option on any reflectometer."
,
"Отметим, что методы исследования с использованием ларморовской прецессии спина нейтрона активно развиваются в Российских центрах.",Note that the research methods using neutron spin Larmor precession have been actively developed at Russian centers.
"В [64, 65] опробован и реализован метод нейтронного спинового эха для малоуглового рассеяния, в котором в качестве прецессионного плеча используется пара резонансных адиабатических спин-флипперов.","The neutron spin echo method for small-angle scattering, where a pair of resonant adiabatic spin-flippers is used as a precession arm, was tested and implemented in [64, 65]."
"Другая подобная методика, в которой прецессионное плечо представляет собой пару прямоугольных катушек, в которых магнитное поле нарастает по линейному закону во времени, в настоящее время активно разрабатывается на установке РЕФЛЕКС [66].","Another similar technique, in which the precession arm is formed by a pair of rectangular coils, in which a magnetic field rises linearly with time, is currently being actively developed on the REFLEX system [66]."
"Особенностью этих методов является то, что они могут применяться в скользящей геометрии рассеяния и работать по методу времени пролета в широком спектральном интервале, позволяя достигать высоких значений углового разрешения при умеренной интенсивности падающего пучка.","A specific feature of these methods is that they can be applied in grazing scattering geometry and operate according to the principle of time-of-flight technique in a wide spectral range, providing a high angular resolution at moderate incident beam intensities."
,
"Одной из важных характеристик модулированных магнитных структур является киральность, характеризующая направление поворота магнитных моментов при переходе от одного монослоя к другому.","One of important characteristics of modulated magnetic structures is their chirality, which characterizes the rotation direction of magnetic moments when passing from one monolayer to other."
"Киральность является новым параметром порядка, позволяющим контролируемым образом изменять свойства наноструктур.","The chirality is a new order parameter, which makes it possible to change controllably the properties of nanostructures."
"При классической схеме реализации поляризационного анализа в нейтронной рефлектометрии, когда нейтроны поляризованы вдоль направления ведущего магнитного поля в плоскости образца, определить киральность невозможно, однако это возможно в случае, когда поляризация нейтронного пучка ориентирована вдоль нормали к поверхности образца.","Chirality cannot be determined in the classical scheme of polarization analysis in neutron reflectometry, where neutrons are polarized along the direction of leading magnetic field in the sample plane; however, this can be done when the neutron beam is polarized normally to the sample surface."
Такая возможность реализована на многих зарубежных рефлектометрах и чрезвычайно желательно иметь такую возможность на отечественных.,"This possibility is implemented in many foreign reflectometers, and it is highly desirable to have such an option in domestic instruments."
,
Одно из важных современных направлений в области создания новых материалов – модификация свойств наноструктур путем насыщения их водородом или оксидации.,An important modern direction in the field of creating new materials is the modification of the properties of nanostructures by saturating them with hydrogen or by oxidizing them.
Нейтронная рефлектометрия – один из наиболее мощных методов для исследования этих процессов [67–73].,Neutron reflectometry is one of the most powerful methods for studying these processes [67–73].
"Для эффективного использования необходимо создание специализированных камер для исследования процессов окисления и гидрогенизации наноструктур in situ, в том числе при повышенных температурах.","To use it efficiently, one must design specialized chambers to study the oxidation and hydrogenation of nanostructures in situ, in particular, at elevated temperatures."
"Подобная техника вполне может быть развита на российских рефлектометрах, особенно учитывая богатый опыт в in situ-рефлектометрии, накопленный на установке ГРЭИНС, о чем шла речь в предыдущей главе.","This technique can well be developed on Russian reflectometers, especially taking into account the rich experience in in situ-reflectometry, accumulated on the GRAINS system, which was discussed in the previous chapter."
,
"В современной наноспинтронике ведущим направлением является управление магнитным состоянием наноструктур без использования магнитных полей, в частности пропусканием в них электрических токов.","The leading direction in modern nanospintronics is the control of the magnetic state of nanostructures without applying magnetic fields, in particular, by passing an electric current through them."
"Кроме того, наиболее часто для записи и считывания информации в магнитных наноструктурах используется измерение электросопротивления, которое зависит от магнитной микроструктуры образца.","In addition, recording and reading information in magnetic nanostructures is performed most often by measuring their resistance, which depends on the sample magnetic microstructure."
Определение влияния магнитной микроструктуры на электросопротивление – важная задача при прикладных и фундаментальных исследованиях магнитных наноструктур.,Determination of the influence of magnetic microstructure on the resistance is an important problem to solve in applied and fundamental studies of magnetic nanostructures.
Такие возможности также должны быть реализованы на отечественных рефлектометрах.,These possibilities should also be implemented in Russian reflectometers.
"Было бы важным иметь возможность одновременного проведения нейтронных и электрических измерений, что позволило бы напрямую связать информацию о микроскопической магнитной структуре образцов и об их электрических свойствах.","It would be important to have an opportunity of performing simultaneously neutron and electrical measurements, which would make it possible to relate directly the information about the microscopic magnetic structure of samples and the data on their electrical properties."
,
"Нельзя не упомянуть такое перспективное направление, пока не развитое на отечественных установках, как исследование поверхностной дифракции на атомных плоскостях в геометрии скользящего падения.",One cannot but mention such a promising direction (which has not yet been developed on Russian installations) as the study of surface diffraction from atomic planes in the grazing incidence geometry.
"Такие измерения не только дают возможность исследовать поверхностные слои с регулируемой глубиной проникновения нейтронного пучка, но и позволяют получать информацию о магнитных моментах, ориентированных перпендикулярно поверхности, так как вектор рассеяния лежит в плоскости образца [74, 75].","These measurements allow one not only to investigate surface layers with an adjustable neutron-beam penetration depth but also obtain information about the magnetic moments oriented perpendicular to the surface, because the scattering vector lies in the sample plane [74, 75]."
"Это комплементарная к нейтронной рефлектометрии методика, которая может значительно повысить эффективность любой установки.",This technique (complementary to neutron reflectometry) may increase significantly the efficiency of any system.
Возможность измерения поверхностной дифракции реализована на ряде зарубежных рефлектометров [76].,The possibility of measuring surface diffraction is implemented in some foreign reflectometers [76].
В России такие возможности пока отсутствуют.,In Russia these possibilities are still absent.
При проектировании новых рефлектометров на реакторе ПИК было бы желательно реализовать такую методику на одном из рефлектометров.,"When designing new reflectometers on the PIK reactor, it would be desirable to implement this technique in one of them."
,
"В отличие от рентгеновской рефлектометрии, в которой активно используется резонансное (аномальное) рассеяние рентгеновского излучения вблизи краев поглощения, содержащихся в наноструктуре элементов, в нейтронной рефлектометрии традиционно не используются резонансные эффекты.","In contrast to the X-ray reflectivity technique, which actively uses the resonant (anomalous) X-ray scattering near the absorption edges of the elements present in a nanostructure, resonant effects traditionally are not used in neutron reflectometry."
"Это связано с тем, что для большинства изотопов длины рассеяния медленных нейтронов практически не зависят от их энергии.",The reason is that the scattering lengths of slow neutrons barely depend on their energy for most isotopes.
"Тем не менее есть изотопы, для которых такие зависимости существенны в данной области энергий, например 113Cd, 155Gd, 157Gd, 149Sm и другие.","Nevertheless, there are isotopes for which these dependences are strong in this energy range, for example, 113Cd, 155Gd, 157Gd, 149Sm, etc."
"Использование резонансного рассеяния медленных нейтронов на ядрах таких изотопов позволит значительно расширить возможности нейтронной рефлектометрии и будет способствовать решению ряда задач, неразрешимых в рамках традиционной нерезонансной нейтронной рефлектометрии.",The use of resonant slow-neutron scattering from nuclei of these isotopes is expected to expand significantly the possibilities of neutron reflectometry and facilitate the solution of some problems that cannot be solved using the conventional nonresonant neutron reflectometry.
"Недавно был предложен метод опорного слоя нейтронной рефлектометрии для определения фазы отраженного пучка [77], предполагающий использование зависимости длины рассеяния гадолиния от энергии [78].",Recently a method of reference layer for neutron reflectometry was proposed to determine the reflected-beam phase [77].
"Наиболее эффективно метод можно реализовать, проводя измерения на трех длинах волн не более 0.4 нм.",This method implies the use of the energy dependence of gadolinium scattering length [78]; it can be implemented most efficiently by carrying out measurements at three wavelengths of no more than 0.4 nm.
,
Расширение возможностей магнитной рефлектометрии рассмотрено в [79].,The expansion of the potential of magnetic reflectometry was discussed in [79].
Рассмотренные там схемы позволят получать более полную информацию о магнетизме слоев.,The schemes considered there are expected to yield more complete information about the magnetism of layers.
"Показано, что полная нейтронная рефлектометрия сводится к измерению в общем случае четырех модулей и трех разностей фаз, трех модулей и двух разностей фаз для компланарных, двух модулей и одной разности фаз – для коллинеарных магнитных систем.","It is shown that complete neutron reflectometry is reduced to measuring four moduli and three phase differences in the general case, three moduli and two phase differences for coplanar magnetic systems, and two moduli and one phase difference for collinear magnetic systems."
Подход с измерением модулей элементов матрицы отражения в двух представлениях решает задачу нахождения разностей фаз (для любого из двух представлений).,The approach with measurement of the moduli of reflection matrix elements in two representations solves the problem of determining the phase difference (for any of two representations).
"В случае структур с компланарными полями для полной рефлектометрии достаточно дополнить стандартные измерения отражением нейтронов со спином, неколлинеарным ведущему полю (метод перекрестной интерференции).","To implement complete reflectometry in the case of structures with coplanar fields, it is sufficient to supplement standard measurements with measurements of the reflection of neutrons with a spin noncollinear with the driving field (cross interference technique)."
"В случае структур с коллинеарными полями достаточно провести дополнительное измерение с образцом, повернутым вокруг нормали к поверхности (например, на 90).","For structures with collinear fields, it is sufficient to perform an additional measurement with a sample rotated around the normal to the surface (for example, by 90)."
"Для решения задачи прямого восстановления глубинной зависимости величины и направления вектора намагниченности (векторная магнитометрия) следует комбинировать полную нейтронную рефлектометрию с модифицированными методами [77, 78].","To solve the problem of direct reconstruction of the depth dependence of the magnetization vector magnitude and direction (vector magnetometry), one must combine complete neutron reflectometry with modified methods [77, 78]."
,
"Схемы магнитной нейтронной рефлектометрии, комплементарные к стандартной, будут тестированы на рефлектометре SONATA с использованием платформы векторного анализа.",The magnetic neutron reflectometry schemes complementary with the standard NR will be tested on the reflectometer SONATA using vector analysis platforms.
Съемки с векторным анализом поляризации также являются прямым методом изучения поляризационных эффектов при отражении и представляют особый интерес для развития нового направления поляризационной нейтронной оптики – нейтронной спиновой оптики [80].,Measurements with analysis of the polarization vector are also a direct method for studying polarization effects at reflection; it is of particular interest for developing the new field of research in polarization neutron optics: neutron spin optics [80].
,
,
,
ЗАКЛЮЧЕНИЕ,CONCLUSIONS
,
"Для специалистов в области нейтронного рассеяния, а также для сообщества пользователей нейтронными инструментами в России наступает довольно благоприятный момент, связанный с вводом в эксплуатацию новых источников.",A rather favorable situation is expected for experts in neutron scattering and for the entire community of users of neutron instruments in Russia in view of the commissioning of new neutron sources.
"Причем этот импульс развития не ограничивается ближайшей перспективой, связанной с реакторами ИР-8 и ПИК.","This development impetus is not limited by the near-future prospects, related to the IR-8 and PIK reactors."
"В настоящее время идет активная проработка проектов будущих нейтронных источников: нового импульсного источника ИБР-3 в ОИЯИ (г. Дубна), который разрабатывается как самый интенсивный источник нейтронов в мире, и компактного низкопоточного источника нейтронов “ Дарья” (ПИЯФ НИЦ КИ), который будет достаточно простым и дешевым и поэтому доступным для университетов по всей стране.","Currently, the following projects of future neutron sources are being actively elaborated: new pulsed IBR-3 source at the JINR (Dubna), which is developed as the most intense neutron source in the world, and a compact low-flux neutron source DARIA (PNPI NRC KI), which must be sufficiently simple and inexpensive and, therefore, available for universities throughout the entire country."
Внедрение компактных источников в структуру крупных образовательных центров упростит подготовку кадров для работы на современных установках.,The incorporation of compact neutron sources into the structure of large educational centers will simplify the training of experts for operation on modern systems.
"Все это внушает оптимизм в отношении того, что применение структурных методов исследований физики конденсированного состояния будет развиваться и совершенствоваться.",All this inspires optimism that the studies based on structural methods in the field of condensed-matter physics will be developed and improved.
,
Несмотря на внушительный накопленный опыт создания установок по нейтронному рассеянию в России идет постоянное активное взаимодействие в этой области на международном уровне.,"Despite the significant accumulated experience in the creation of neutron scattering systems in Russia, constant active interaction in this field at the international level is continued."
"Например, модернизация установок на реакторе ИБР-2 идет в кооперации с научными центрами Германии, Польши, Румынии и других стран.","For example, the systems on the reactor IBR-2 are upgraded in cooperation with the research centers of Germany, Poland, Romania, and other countries."
Претворение в жизнь намеченных планов существенно увеличит потенциал России в области создания современных и конкурентоспособных установок по нейтронной рефлектометрии.,Implementation of the outlined plans will increase significantly the potential of Russia in the field of creating modern and competitive neutron reflectometry systems.
,
Исследования в ИФМ УрО РАН им. М.Н. Михеева и Уральском федеральном университете (г. Екатеринбург) выполнены в рамках государственного задания Министерства науки и высшего образования Российской Федерации (тема “Спин” № АААА-А18-118020290104-2) при частичной поддержке Российского фонда фундаментальных исследований (проекты № 20-42-660024 и 19-02-00674).,"This study was performed at the Mikheev Institute of Metal Physics, Ural Branch, Russian Academy of Sciences, and Ural State University (Yekaterinburg) within the State assignment of the Ministry of Science and Higher Education of the Russian Federation (subject “Spin” no. AAAА-A18-118020290104-2) and supported in part by the Russian Foundation for Basic Research, project nos. 20-42-660024 and 19-02-00674."
Рис. 1.,Fig. 1.
"Возможные каналы рассеяния нейтронов в скользящей геометрии, используемой в методе нейтронной рефлектометрии: зеркальное отражение (измерение интенсивности в зависимости от проекции переданного импульса qz), незеркальное рассеяние, лежащее в плоскости зеркального отражения (плоскость xz, измерение интенсивности в зависимости от проекции переданного импульса qx); малоугловое рассеяние МУРН-СП (измерение интенсивности в зависимости от проекций переданного импульса qx и qy).","Possible neutron scattering channels in grazing geometry, used in neutron reflectometry: specular reflection (measurement of intensity as a function of momentum transfer projection qz), nonspecular scattering in the mirror-reflection plane (xz plane, measurement of intensity as a function of momentum transfer projection qx); GISANS scattering (measurement of intensity as a function of momentum transfer projections qx and qy)."
,
Рис. 2.,Fig. 2.
"Расчетные коэффициенты отражения R на угле скольжения  = 1 в зависимости от q при разрешении q/q = 0, 2, 4, 6, 8, 10, 12% для слоев с нейтронным потенциалом 100 нэВ и толщинами 20, 50 и 100 нм (шероховатость границ 1 нм) на кремниевых подложках [19].","Calculated values of reflectance R at the grazing angle  = 1 in dependence of q at resolutions q/q = 0, 2, 4, 6, 8, 10, 12% for layers with a neutron potential of 100 neV and thicknesses of 20, 50, and 100 nm (interfacial roughness 1 nm) on silicon substrates [19]."
,
Рис. 3.,Fig. 3.
"Восстановленная трехмерная картина распределения интенсивности, включающая в себя зеркальное отражение, незеркальное рассеяние и МУРН-СП от многослойной полимерной структуры PBMA-PS, выполненное на рефлектометре РЕМУР [3].","Reconstructed three-dimensional intensity pattern, including specular reflection, nonspecular scattering, and GISANS from a multilayer polymer structure PBMA-PS, obtained on the reflectometer REMUR [3]."
,
Рис. 4.,Fig. 4.
"Рефлектометрическое исследование возникновения переходного слоя твердого электролита SEI на электродной пленке, регулирующего диффузию лития, для литий-ионных аккумуляторов с металлическим анодом.","Reflectometric study of the formation of a transition solid electrolyte interphase (SEI) layer on an electrode film, which controls the lithium diffusion, for lithium-ion accumulators with a metal anode."
Схема эксперимента представлена на вставке справа сверху [48].,Schematic of the experiment is in the right top inset [48].
,
Рис. 5.,Fig. 5.
Схема рефлектометра РПН.,Schematic of the PNR reflectometer.
"Основные узлы РПН: 1 – узел фокусирующего нейтронного кристалла-монохроматора; 2 – комбинированная (гамма-нейтрон) защита монохроматора и формирователя пучка; 3 – заслонка нейтронного пуча; 4 – монитор падающего нейтронного пучка; 5, 7, 10 – управляемые диафрагмы; 6 – узел формирователя нейтронного пучка; 8 – вакуумный тракт с ведущим магнитным полем и оптическим концетратором; 9, 12 – радиочастотный спин-флиппер; 11 – узел образца с электромагнитом; 13 – базисная платформа детекторного плеча, платформа; 14 – вакуумный тракт с ведущим магнитным полем; 15 – многоканальный веерный анализатор с магнитной системой; 16 – двухкоординатный позиционно-чувствительный детектор; 17 – одиночный  3He-детектор; 18 – фоновая защита детекторного плеча; 19 – вакуумная система; 20 – ловушка нейтронного пучка.","Main RPN units: (1) unit of focusing neutron monochromator crystal, (2) combined (gamma–neutron) protection of monochromator and beam former, (3) neutron beam shutter, (4) monitor of incident neutron beam, (5, 7, 10) controlled diaphragms, (6) unit of neutron beam former, (8) vacuum channel with leading magnetic field and optical concentrator, (9, 12) RF spin-flipper, (11) sample unit with electromagnet, (13) basic platform of detector arm (platform), (14) vacuum channel with leading magnetic field, (15) multichannel fan-shaped analyzer with a magnetic system, (16) 2D position-sensitive detector, (17) single 3He-detector, (18) background protection of detector arm, (19) vacuum system, and (20) neutron-beam trap."
,
Рис. 6.,Fig. 6.
Схема рефлектометра SONATA для реактора ПИК.,Schematic of the reflectometer SONATA for the PIK reactor.
"После выходного окна транспортного нейтроновода (НВ) располагаются три коллимационные щели, элементы трехдискового чоппера оригинальной конструкции [57], трансмиссионный фильтр, пучковый комбинатор, два флиппера, монитор, узел образца, веерный анализатор и двухкоординатный ПЧД.","After the output window of the transport neutron guide (NG), there are three collimation slits, elements of triple-disk chopper of original design [57], transmission filter, beam combiner, two flippers, monitor, sample unit, fan-shaped analyzer, and 2D PSD."
,
Рис. 7.,Fig. 7.
"Схема нейтронного рефлектометра HARMONY для двух режимов измерения образца: отражение от поверхности образца сверху и отражение от поверхности образца снизу. A, B, B', C, C', D, D' – отклоняющие суперзеркала; 1 – заслонка пучка, 2 – монитор, 3 – диафрагма, 4 – прерыватель нейтронного пучка, 5 – компактный трансмиссионный суперзеркальный нейтронный поляризатор, 6 – спин-флиппер, 7 – фокусирующий нейтроновод, 8 – суперзеркальный отклонитель пучка, 9 – ловушка прямого пучка, 10 – узел образца, 11 – широкоапертурный веерный анализатор поляризации, рассеянного на образце пучка, 12 – позиционно-чувствительный двухкоординатный детектор.","Schematic of neutron reflectometer HARMONY for two measurement modes (reflection from the sample surface above and below the sample): (A, B, B', C, C', D, D'), deflection supermirrors, (1) beam shutter, (2) monitor, (3) diaphragm, (4) neutron beam chopper, (5) compact transmission supermirror neutron polarizer, (6) spin-flipper, (7) focusing neutron guide, (8) supermirror beam deflector, (9) forward-beam trap, (10) sample unit, (11) wide-aperture fan-shaped analyzer of the polarization of beam scattered from the sample, and (12) position-sensitive 2D detector."
