Russian_term	English_term	Russian_sentence	English_sentence_expert	en_google Russian_sentence	en_nllb Russian_sentence	en_marian Russian_sentence
непосредственно из эксперимента	directly from experiment	Реконструировать функцию f непосредственно из экспериментальных данных обратным преобразованием Фурье невозможно, так как фаза в дальнем поле не измерима.	The function f cannot be reconstructed directly from experimental data using an inverse Fourier transform, because the phase cannot be measured in the far field.	It is impossible to reconstruct the function F directly from experimental data by reverse converting Fourier, since the phase in the far field is not measurable.	It's impossible to reconstruct the function f directly from the experimental data by converting the furrier backwards, because the phase in the far field cannot be measured.	It is not possible to reconstruct function f directly from experimental data by reversing the furry because the phase in the long field is not measurable.
несколько порядков величины	several orders of magnitude	Однако в низкотемпературной области T < 1.2 К экспериментальные данные не могут быть описаны термоактивационной зависимостью, и расхождение составляет несколько порядков величины.	However, the experimental data in the low-temperature region T < 1.2 K cannot be described by the thermal activation dependence, and the discrepancy is of several orders of magnitude.	However, in the low -temperature region T <1.2 to experimental data cannot be described by thermoactivation dependence, and the discrepancy is several orders of magnitude.	However, in the low-temperature region t <1.2 to the experimental data cannot be described by thermoactivation dependence, and the discrepancy is several orders of magnitude.	However, in the low temperature area t < 1.2 of the experimental data, the thermoactivation relationship cannot be described and the discrepancy is several order of magnitude.
нижний предел измерений	lower measurement limit	Поскольку нижний предел измерений по энергии составляет ~1 кэВ, легкие элементы, такие как C, O, зарегистрировать не удается.	Since the lower measurement limit with respect to energy was ~1 keV, we could not record light elements, such as C and O.	Since the lower limit of energy measurements is ~ 1 KEV, light elements, such as C, O, cannot be registered.	Since the lower limit of measurements by energy is ~1 kэв, light elements such as c, o, cannot be recorded.	Since the lower limit for energy measurements is ~1 kev, light elements such as c, o cannot be recorded.
о чем свидетельствует	as evidenced by	Молекулы липида, находящиеся около цитохрома, еще не сформировали энергетически выгодную структуру, о чем свидетельствует тот факт, что полярные головки липидов иногда расположены внутри липидной мицеллы.	At this moment, lipid molecules located near cytochrome do not yet form energetically favorable structures, as evidenced by the fact that the polar heads of lipids are sometimes incorporated into lipid micelles.	Lipida molecules, located near the cytochrome, have not yet formed an energetically profitable structure, as evidenced by the fact that the polar heads of lipids are sometimes located inside the lipid micella.	The lipid molecules that are near the cytochrome have not yet formed an energy-efficient structure, as evidenced by the fact that the polar lipid heads are sometimes located inside the lipid mycellar.	Lipid molecules near cytochrome have not yet formed an energy-friendly structure, as evidenced by the fact that polar lipid heads are sometimes located inside lipid mycel.
области науки и технологии	fields of science and technology	В настоящее время различные наносистемы благодаря своим уникальным свойствам глубоко проникли во все области науки и технологии, а их дальнейшее развитие и совершенствование критически важно для достижения прогресса и конкурентоспособности во многих сферах мировой экономики.	Currently, various nanosystems are actively applied in all fields of science and technology because of their unique properties; progress and competitiveness in many spheres of world economics are impossible without further development and improvement of nanosystems.	Currently, various dealerships, due to their unique properties, have deeply penetrated into all areas of science and technology, and their further development and improvement is critical to achieve progress and competitiveness in many areas of the world economy.	Today, various nanosystems have penetrated deeply into all fields of science and technology due to their unique properties, and their further development and improvement is critical to achieving progress and competitiveness in many areas of the world economy.	Today, the various nanosystems, because of their unique properties, are deeply embedded in all areas of science and technology, and their further development and improvement is critical for progress and competitiveness in many areas of the world economy.
область когерентного рассеяния	coherent-scattering region	Параметр кристаллической решетки с рассчитывали из положения рефлекса 004 ZnO, а область когерентного рассеяния (ОКР) оценивали по данным рефлекса 002 ZnO.	Lattice parameter c was calculated from the position of the 004 ZnO reflection and the coherent-scattering region (CSR) was estimated based on the data for the 002 ZnO reflection.	The parameter of the crystal lattice was calculated from the position of the reflex 004 ZNO, and the coherent scatter area (OCD) was evaluated according to the 002 ZNO reflex.	The crystal lattice parameter is calculated from the position of the 004 zno reflex, and the area of coherent dispersion (okr) is estimated from the 002 zno reflex data.	The crystalline grid parameter c was calculated from the reflex position 004 zno, and the coherent dissipation area (ocre) was estimated from the reflex data 002 zno.
область перекрытия пучков	beam overlap region	Рис. 1. Главная часть возможной схемы эксперимента: 1 – билинзовый интерферометр на основе планарных СПЛ, 2 – монокристалл, 3 – область перекрытия пучков.	Fig. 1. The main part of the possible schematic of the experiment: (1) bilens interferometer based on planar CRLs, (2) single crystal, and (3) beam overlap region.	rice.1. The main part of the possible scheme of the experiment: 1 is a bilinza interferometer based on planar spls, 2 - a monocrystal, 3 - the overlapping area of the beams.	Figure 1. the main part of the possible scheme of the experiment: 1  bilinear interferometer based on planar pls, 2  monocrystals, 3  area of overlapping of the beams.	Figure 1. The main part of a possible experimental scheme: 1 is a bilinze interferometer based on planar sples, 2 is a monocrystal, 3 is an area where beams are cut off.
образцы поперечного сечения	cross-sectional samples	Образцы поперечного сечения с ориентацией поверхности Si() для электронно-микроскопических исследований готовили методом In-Situ Lift-Out [22, 23] с помощью фокусированного ионного пучка прибора Helios NanoLab 650.	Cross-sectional samples with the Si() surface orientation for the electron microscopy analysis were prepared by the in situ lift-out method [22, 23] using a focused ion beam from the Helios NanoLab 650 device.	Samples of the cross-section with the si () orientation for electron-microscopic studies were prepared by the In-Situ Lift-out method [22, 23] using the focused ion beam of the Helios Nanolab 650 device.	The cross-sectional samples with the orientation of the surface si() for electron microscopic studies were prepared by the in-situ lift-out method [22, 23] using the focused ion beam of the helios nanolab 650 device.	Cross section samples with surface orientation si() for electron microscopic studies have been prepared by in-situ liff-out [22, 23] using a focused ion beam of the helios nanolab 650 instrument.
обратимый фазовый переход	reversible phase transition	В области 800С наблюдался обратимый фазовый переход.	A reversible phase transition was observed near 800C.	In the area of 800 ° C, a reversible phase transition was observed.	In the 800s region, there was a reversible phase transition.	There was a reversible phase transition in region 800°c.
обратный пьезоэлектрический эффект	inverse piezoelectric effect	Существует также обратный пьезоэлектрический эффект, когда при приложении к кристаллу электрического поля в нем появляется механическая деформация [17, 27]:	There is also inverse piezoelectric effect, when mechanical strains occur in a crystal placed in an electric field [17, 27]:	There is also a reverse piezoelectric effect when, with the application of the electric field crystal, mechanical deformation appears in it [17, 27]:	There is also a reverse piezoelectric effect when an electric field is applied to the crystal and it has mechanical deformation [17, 27]:	There is also a reverse piezoelectrical effect when the electrical field is applied to the crystal with mechanical deformation [17, 27]:
объем элементарной ячейки	unit-cell volume	Интересен постоянный вклад – объем элементарной ячейки VF, приходящийся на один ион фтора, рис. 2.	The constant contribution is of interest (unit-cell volume VF per fluorine ion, Fig. 2).	The constant contribution is interesting - the volume of the elementary cell VF, which arrives at one ion of fluorine, Fig.2.	The constant contribution is the volume of the elementary cell vf, which is per one fluorine ion, Figure 2.	An interesting constant contribution is the volume of the elemental vf cell per ion fluorine, figure 2.
один из двух	one of two	Установленное распределение катионов выявило основную причину отсутствия центра симметрии: вхождение значительного количества ниобия только в один из двух октаэдров М1–М2 и М3–М4, связанных псевдоцентром симметрии.	The found distribution of cations revealed the main reason for the absence of the center of symmetry: incorporation of a large amount of niobium in only one of two (M1–M2 and M3–M4) octahedra linked by a pseudocenter of symmetry.	The established distribution of cations revealed the main reason for the absence of the center of symmetry: the entry of a significant amount of niobium in only one of the two Octhedrons M1 - M2 and M3 - M4, connected by the pseudo -center of symmetry.	The established distribution of cationes revealed the main reason for the lack of a symmetry center: the entry of a significant amount of niobium only into one of the two octahedra m1m2 and m3m4, linked by a pseudo-center of symmetry.	The established distribution of cations revealed the main reason for the lack of a symmetry centre: the entry of a significant amount of niobium into only one of the two octaedra m1–m2 and m3–m4 bound by the pseudocenter of symmetry.
один из них	one of them	В периферийных октаэдрах М3 и М4 с расстояниями М–О = 1.96 и 1.97 Å соответственно также наблюдается смешанная заселенность позиций, причем атомы Nb также входят только в один из них (табл. 4).	The peripheral M3 and M4 octahedra (with the M–O distances of 1.96 and 1.97 Å, respectively) also exhibit mixed site occupancy, and Nb atoms also enter only one of them (Table 4).	In the peripheral octahedrals, M3 and M4 with the distances of M -O = 1.96 and 1.97 å respectively, mixed populism of positions is also observed, and the NB atoms are also included only in one of them (Table 4).	In peripheral octahedra m3 and m4 with distances mo = 1.96 and 1.97 å respectively, there is also a mixed settlement of positions, with nb atoms also entering only one of them (table 4).	In peripheral octaedra m3 and m4 with distances m-o = 1.96 and 1.97 ó respectively, there is also mixed occupancy of the positions, with nb atoms also included in only one of them (table 4).
однако необходимо отметить, что	however, it should be noted that	Однако необходимо отметить, что рефлектометр на импульсном источнике более эффективен, чем на стационарном, поскольку используется весь падающий поток, в то время как на стационарном реакторе только его часть.	However, it should be noted that a reflectometer installed on a pulsed source is more efficient as compared with a cw source, because the incident flux is used entirely rather than partially in this case.	However, it should be noted that the reflectometer on the impulse source is more effective than on the stationary, since the entire falling flow is used, while only part of it on a stationary reactor.	However, it should be noted that the reflector at the pulse source is more efficient than the stationary one, as the entire downstream is used, while the stationary reactor uses only part of it.	It should be noted, however, that the pulse-source reflexometer is more effective than the stationary one, as the entire fall stream is used, while only part of the stationary reactor is used.
однако это не так	however, it is not the case	Однако это не так, хотя размеры Ca2+ и Cd2+ практически равны.	However, it is not the case, although the Ca2+ and Cd2+ sizes are almost equal.	However, this is not so, although the sizes CA2+ and CD2+ are almost equal.	But that's not true, even though the dimensions of ca2+ and cd2+ are pretty much the same.	However, this is not the case, although the dimensions of ca2+ and cd2+ are practically equal.
однородный твердый раствор	homogeneous solid solution	Если сплав представляет собой однородный твердый раствор, то при прямом мартенситном превращении образуется фаза с ГПУ-решеткой, и необходимые для превращения сдвиги происходят после каждого второго плотноупакованного слоя {111}ГЦК.	If an alloy is a homogeneous solid solution, a direct martensitic transformation gives rise to a phase with an hcp lattice, and shifts necessary for transformation occur after each second close-packed layer {111}fcc.	If the alloy is a homogeneous solid solution, then with a direct martensitic transformation a phase with a GPU-player forms, and the necessary shifts are necessary to turn after each second densely used layer {111} GCC.	If the alloy is a uniform solid solution, then a phase with a gpu-grid is formed when the direct martensite transformation occurs, and the necessary shifts occur after each second densely packed layer.	If the alloy is a homogeneous solid solution, the straight Marnesite phase shall be formed with the glu-grate, and the movement necessary to transform shall occur after each second dense layer {111}glc.
оказывает влияние на	affects the	Наличие пористого силикатного подслоя оказывает влияние на формирование структуры LNO: наблюдается повышение пористости и измельчение зерен в самом слое LNO.	The presence of a porous silicate sublayer affects the formation of the LNO structure: one can observe an increase in the porosity and grain fineness in the LNO layer.	The presence of a porous silicate sublayer affects the formation of the LNO structure: there is an increase in porosity and grinding of grains in the LNO layer itself.	The presence of a porous silicate substrate influences the formation of the lno structure: there is an increase in porosity and crushing of grains in the lno layer itself.	The presence of a porous silicate substrate has an impact on the formation of lno: there is an increase in porosity and shredding of the grains in the very layer of lno.
операторы рождения и уничтожения	creation and annihilation operators	В (1) ε – собственная энергия электронов, B – интеграл перекрытия волновых функций электронов или другими словами – интеграл перескока, U – интеграл кулоновского взаимодействия,  - оператор числа частиц в узле  со спином , и ,  - операторы рождения и уничтожения электронов со спином  на i-м узле соответственно.	In (1), ε is the electron eigenenergy; B is the overlap integral of the wave functions of electrons (hopping integral); U is the Coulomb interaction integral;  is the operator of the number of particles at site i with spin ; and  and  are the creation and annihilation operators of electrons with spin  at the ith site, respectively.	In (1) ε - the own energy of electrons, b - the integral of the overlap of the wave functions of electrons or in other words - the intersection integral, U is the integral of Kulonov’s interaction - the operator of the number of particles in the node with the back, and, the birth operators of electrons with the back on the backI-m node, respectively.	in (1) ε  own electron energy, b  electron wave function overlap integral or in other words  transition integral, u  kulon interaction integral, - operator of the number of particles in the node with the spine, and, - operators of the birth and destruction of electrons with the spine at the i-m node respectively.	In (1), – its own electron energy, b – an integral blockage of wave functions of electrons, or in other words – an integral rebound, u – an integral of the Kulonian interaction, an operator of the number of particles in the back knot, and, – the operators of the birth and destruction of the back electrons on the i-th knot, respectively.
оптическая схема эксперимента	optical scheme of the experiment	Рентгенооптическая схема эксперимента: 1 – источник синхротронного излучения, 2 – коллимационные щели, 3 – зеркало полного внешнего отражения, 4 – образец, 5 – АЭРО, 6 – детектор.	X-ray optical scheme of the experiment: (1) synchrotron radiation source, (2) collimation slits, (3) total external reflection mirror, (4) sample, (5) AXOE, and (6) detector.	The X -ray scheme of the experiment: 1 - the source of synchrotron radiation, 2 - collimation slots, 3 - mirror of complete external reflection, 4 - sample, 5 - Aero, 6 - detector.	X-ray optical scheme of the experiment: 1  source of synchrotron radiation, 2  colllimation gaps, 3  mirror of full external reflection, 4  sample, 5  aero, 6  detector.	X-ray optics of the experiment: 1 is the source of synchrotron radiation, 2 is the collimation slits, 3 is the mirror of total external reflection, 4 is the sample, 5 is the aeroplane, 6 is the detector.
основное электронное состояние	ground electronic state	Авторы использовали только основное электронное состояние с энергией диссоциации 61.4 см–1 без учета спин-орбитального расщепления.	In that study, only the ground electronic state was used with the dissociation energy of 61.4 cm–1 and the spin–orbit splitting disregarded.	The authors used only the main electronic state with the energy of dissociation 61.4 cm-1 excluding spin-orbital splitting.	The authors used only the main electronic state with a dissociation energy of 61.4 cm1 without considering the spine-orbital cleavage.	The authors used only the main electronic state with dissociation energy 61.4 cm-1 without taking into account spin-orbit separation.
основные межатомные расстояния	main interatomic distances	Основные кристаллографические параметры, данные экспериментов и результаты уточнения структур кристаллов La2MoO6, беспримесного и с примесью магния, приведены в табл. 1, значения координат, заселенностей позиций и эквивалентных тепловых параметров – в табл. 2, основные межатомные расстояния – в табл. 3.	The main crystallographic characteristics, experimental data, and parameters of the structure refinement for pure and Mg-doped La2MoO6 crystals are given in Table 1; the coordinates, site occupancies, and equivalent thermal parameters are listed in Table 2; and the main interatomic distances are presented in Table 3.	The main crystallographic parameters, experimental data and the results of clarifying the structures of the La2MOO6 crystals, an unknown and with an admixture of magnesium, are given in table.1, values of coordinates, populated positions and equivalent heat parameters - in table.2, the main intensified distances - in table.3.	The main crystallographic parameters, the experimental data and the results of the analysis of the structure of the la2moo6 crystals, both unpromised and with magnesium mixed, are given in table 1, the coordinate values, positions settlements and equivalent thermal parameters  in table 2, the main boundary distances  in table 3.	The basic crystallographic parameters, experimental data, and the results of the refinement of the la2moo6 crystal structures, the non-accuracy and magnesium contamination are shown in table 1, the values of the coordinates, the settlement of the positions and the equivalent heat parameters in table 2, the main interatomic distances in table 3.
ось второго порядка	twofold axis	Рассмотрим диаграмму обобщенной капиллярной постоянной тригонального или гексагонального кристалла, у которого ось второго порядка направлена вдоль вектора силы тяжести (рис. 2).	Let us consider the diagram of the generalized capillary constant of a trigonal or hexagonal crystal, the twofold axis of which is directed along the gravity force (Fig. 2).	Consider the diagram of a generalized capillary constant trigonal or hexagonal crystal, in which the axis of the second order is directed along the gravity vector (Fig. 2).	Consider the diagram of a generalized capillary constant of a triangle or hexagon crystal, whose axis of the second order is oriented along the gravitational force vector (fig. 2).	Consider the graph of the generic capillary constant trigonal or hexagonal crystal, with the second-order axis pointing along the vector of gravity (figure 2).
ось третьего порядка	threefold axis	В кристаллах класса 32 присутствуют одна ось третьего порядка и три нормальные к ней полярные оси второго порядка, расположенные под углом 120 друг к другу.	The crystals belonging to the class 32 contain one threefold axis and three twofold polar axes, oriented normally to it and spaced by 120º.	In Class 32 crystals there are one third order axis and three second -order polar axes to it, located at an angle of 120 to each other.	Class 32 crystals have one third order axis and three second order polar axes that are parallel to each other at an angle of 120.	Class 32 crystals contain one third-order axis and three normal second-order polar axles at 120 degrees apart.
относительно нормали к поверхности образца	with respect to the normal to the sample surface	где σ – сечение фотоионизации, зависящее от энергии возбуждающих фотонов hν, T – эффективность детектора при кинетической энергии фотоэлектронов Ek, ρ – атомарная плотность материла (атомы/см3) на глубине образца с координатой z, λ – неупругая длина свободного пробега фотоэлектронов, θ – угол фотоэмиссии относительно нормали к поверхности образца.	where σ is the photoionization cross section dependent on the excitation photon energy hν, T is the detector efficiency at the photoelectron kinetic energy Ek, ρ is the atomic density of the material (in atoms/cm3) at the sample depth with a coordinate z, λ is the inelastic photoelectron mean free path, and θ is the photoemission angle with respect to the normal to the sample surface.	where σ is the cross section of the photoionization, depending on the energy of exciting photons Ha, t - the effectiveness of the detector during the kinetic energy of the photovlectrons EK, ρ is the atomic density of the material (atoms/cm3) at the depth of the sample with the coordinate z, λ - unrelated the length of the free run of photoelectrons, θ -The angle of photoemission relative to normal to the surface of the sample.	where σ  is the photoionization section dependent on the energy of the excited photons hν, t  detector efficiency at the kinetic energy of the photoelectrons ek, ρ  the atomic density of the material (atoms/cm3) at the sample depth with the coordinate z, λ  the unstable length of the free path of the photoelectrons, θ  the angle of photoemission relative to the sample surface is normal.	where the photoionization section, powered by the energy of the exclamating photons h, t – the detector efficiency of the kinetic energy of the photoelectronics ek, ~ – the atom density of the matter (atoms/cm3) at the depth of the sample at the coordinates z, ~ the non-resilient length of the free distance of the photoelectronics, ________________ – the angle of the photomission relative to the surface of the sample.
относительно поверхности образца	with respect to the sample surface	Таким образом, наблюдается разориентация отражающих плоскостей примерно на 4.1° относительно поверхности образца.	Thus, misorientation of the reflecting planes by about 4.1° with respect to the sample surface is observed.	Thus, there is a devastation of the reflective planes by about 4.1 ° relative to the surface of the sample.	Thus, the reflecting planes are disoriented by about 4.1° relative to the sample surface.	Thus, the reflecting planes are deoriented approximately 4.1° above the surface of the sample.
относительное стандартное отклонение	relative standard deviation	Для каждой концентрации проводили пять параллельных экспериментов, относительное стандартное отклонение (Sr) периодов индукции (τинд) составило Sr = 0.01–0.02.	Five parallel experiments were performed for each concentration; the relative standard deviation (Sr) of induction periods (τind) was Sr = 0.01–0.02.	For each concentration, five parallel experiments were carried out, the relative standard deviation (SR) of the induction periods (τind) was SR = 0.01–0.02.	For each concentration, five parallel experiments were conducted, the relative standard deviation (sr) of the induction periods (τind) was sr = 0.010.02.	For each concentration, five parallel experiments were performed, and the relative standard deviation (sr) of the induction periods was sr = 0.01 - 0.02.
пакет программного обеспечения	software package	Данные анализировали с помощью программ Artemis [20] (пакет программного обеспечения IFEFFIT [21]) и Larch [22].	The data were analyzed using the Artemis [20] (IFEFFIT software package [21]) and Larch programs [22].	The data was analyzed using Artemis [20] (IFEFFIT software package [21]) and LARCH [22].	The data was analyzed using the artemis [20] software packages (ifeffit [21]) and larch [22].	The data were analysed with the help of artemis [20] (ifeffit software pack [21]) and larch [22].
параметры атомных смещений	atomic displacement parameters	Координатные и эквивалентные параметры атомных смещений в изученных кристаллах приведены в табл. 2.	The coordinate and equivalent atomic displacement parameters in the crystals under study are given in Table 2.	The coordinate and equivalent parameters of atomic displacements in the studied crystals are given in table.2.	The coordinate and equivalent parameters of atomic displacements in the studied crystals are given in table 2.	The coordinates and equivalents of the atomic displacements in the studied crystals are shown in Table 2.
парный потенциал взаимодействия	pair interaction potential	где K – парный потенциал взаимодействия, который в реальных задачах зависит от расстояния |x – y|, а F – суммарная сила, с которой все частицы действуют на одну из них, находящуюся в момент времени t в точке x [7].	where K is the pair interaction potential, which (in real problems) depends on the distance |x – y| and F is the total force exerted on one particle at point x at instant t from all other particles [7].	Where k is the paired potential of interaction, which in real tasks depends on the distance | X - Y |, and F is the total force with which all particles act on one of them at the time of time T at point X [7].	k  is the potential of interaction that in real-world tasks depends on the distance x  y is where it is, and f  is the sum of the forces with which all the particles act on one of them, at the time t at point x [7].	where k is the vapour potential of the interaction that in real tasks depends on the distance x is y, and f is the sum of the force with which all particles operate on one of them, which is at time t at point x [7].
пересыщенный твердый раствор	supersaturated solid solution	Поэтому при остывании слитка образуется пересыщенный твердый раствор железа в меди, который может частично распасться с выделением дисперсных частиц железа.	Therefore, upon cooling the ingot, a supersaturated solid solution of iron in copper is formed, which can partially decompose with release of dispersed iron particles.	Therefore, when the ingot is cooling, the overflowing solid solution of iron in copper is formed, which can partially break up with the release of dispersed particles of iron.	So when the alloy cools, it forms a solid iron solution in copper that can partially dissolve with the release of dispersed iron particles.	Thus, the cooling of the inch produces a dried solid iron solution in copper which may be partially dispersed with the release of particulates of iron.
переход в сверхпроводящее состояние	superconducting transition	Иными словами, при пересечении носителями заряда CuO-плоскостей не только возрастает сопротивление по сравнению с другими направлениями в пленке, но даже переход в сверхпроводящее состояние понижается по температуре.	In other words, not only resistance increases in comparison with other directions in the film, but also the superconducting transition temperature decreases when carriers intersect CuO planes.	In other words, when crossing the Cuo-Frame by carriers, the resistance not only increases in comparison with other directions in the film, but even the transition to the superconducting state decreases in temperature.	In other words, when the cuo-flat charge carriers cross, not only does the resistance increase compared to other directions in the film, but even the transition to the superconducting state decreases in temperature.	In other words, when the chargers cross the cuo-plane, not only does the resistance increase compared to the other directions in the film, but even the transition to the superconductor state is reduced by temperature.
период элементарной ячейки	unit-cell parameter	Ланде предположил, что в кристаллах с «мелкими» катионами и крупными анионами, начиная с некоторого размера аниона А, между ними возникает контакт, и размер катиона перестает влиять на период элементарной ячейки соединения.	Lande suggested that, in crystals with small cations and large anions, they are brought into contact beginning with some size of anion A, and the cation size ceases to affect the unit-cell parameter of the compound.	Lande suggested that in crystals with “small” cations and large anions, starting with a certain size of Anion A, contact arises between them, and the size of the cation ceases to influence the period of the elementary cell cell.	Lande suggested that in crystals with small cation and large anions, starting with some size of the a anion, contact between them occurs, and the size of the cation ceases to affect the period of the elementary cell of the connection.	Lunde suggested that in crystals with small cations and large anions, starting with a certain size of anion a, there was contact between them, and the size of cation ceased to affect the period of the elementary connection cell.
периодические граничные условия	periodic boundary conditions	Поскольку при моделировании выполнялись периодические граничные условия, были выполнены перецентрирование белковых молекул и их возврат в ячейку моделирования с использованием команды gmxtrjconv программного пакета GROMACS с флагом -pbcnojump.	Since the periodic boundary conditions were fulfilled during the simulation, the protein molecules were recentered back to the simulation box using the gmxtrjconv option of the GROMACS package with the –pbcnojump flag.	Since periodic boundary conditions were carried out during modeling, the protein molecules were completed and their return to the modeling cell using the GMXTRJCONV team of the Gromacs program package with the flag -PBCNOJUMP.	Because the periodic boundary conditions were met when modeling, the protein molecules were re-centered and returned to the modeling cell using the gmxtrjconv command of the gromacs program package with the flag -pbcnojump.	Because periodic boundary conditions were met in modelling, protein molecules were re-centered and returned to the modelling cell using the gmxtrjconv command of the gramacs software package with the flag pbcnojump.
перпендикулярно плоскости рисунка	perpendicular to the drawing plane	В зависимости от взаимной ориентации внешнего магнитного поля и “ножек” их удобно разделить на четыре типа (рис. 21а): “ножки”, ориентированные вдоль направлений [1], [11], [1] и перпендикулярно плоскости рисунка вдоль направления [111].	Depending on the mutual orientation of external magnetic field and “legs,” it is convenient to divide the latter into four types (Fig. 21a): “legs” oriented along the [1], [11], and [1] directions and (perpendicular to the drawing plane) along the [111] direction.	Depending on the mutual orientation of the external magnetic field and “legs”, it is convenient to divide them into four types (Fig. 21a): “legs” oriented along the directions [1], [11], [1] and perpendicular to the plane of the drawing along the direction [111].	Depending on the mutual orientation of the external magnetic field and the necks, they can be conveniently divided into four types (fig. 21a): necks oriented along directions [1], [11], [1] and perpendicular to the plane of the drawing along the direction [111].	Depending on the mutual orientation of the external magnetic field and the steps, it is convenient to divide them into four types (figure 21a):................................................., [11], [1] and perpendicular to the plane of the drawing along the direction [111].
плоская электромагнитная волна	plane electromagnetic wave	Ключевые слова: метаматериалы, диэлектрический магнитный диполь, отрицательный магнитный отклик, диэлектрическое кольцо, диэлектрическая структура, плоская электромагнитная волна, резонанс.	Keywords: metamaterials, dielectric magnetic dipole, negative magnetic response, dielectric ring, dielectric structure, plane electromagnetic wave, resonance.	Key words: metamaterials, dielectric magnetic dipole, negative magnetic response, dielectric ring, dielectric structure, flat electromagnetic wave, resonance.	The keywords are metamaterials, dielectric magnetic dipole, negative magnetic response, dielectric ring, dielectric structure, flat electromagnetic wave, resonance.	Key words: metamaterials, dielectric magnetic dipole, negative magnetic response, dielectric ring, dielectric structure, flat electromagnetic wave, resonation.
плоскость зеркального отражения	mirror-reflection plane	Так, плоскость зеркального отражения лишает лежащие в ней атомы одной из трех степеней свободы, поворотная ось – двух степеней, центр симметрии – трех.	For example, a mirror-reflection plane removes one out of three degrees of freedom of the atoms lying in it, a rotational axis removes two degrees of freedom, and a center of symmetry removes three degrees of freedom.	So, the plane of mirror reflection deprives the atoms of one of the three degrees of freedom lying in it, the rotary axis - two degrees, the center of symmetry - three.	So the plane of mirror reflection deprives the atoms lying in it of one of three degrees of freedom, the axis of rotation of two degrees, the center of symmetry of three degrees.	Thus, the plane of the mirror reflection deprives the atoms of one of the three degrees of freedom, the turning axis of two degrees, the center of symmetry of three.
плоскость скользящего отражения	glide plane	Как видим, во всех случаях таким контактам отвечает трансляция, в направлении которой есть открытый элемент симметрии с меньшим шагом (винтовая ось либо плоскость скользящего отражения).	It can be seen that, in all cases, these contacts correspond to a translation with an open symmetry element having a smaller step (screw axis or glide plane) along its direction.	As you can see, in all cases, a broadcast responds to such contacts, in the direction of which there is an open element of symmetry with a smaller step (a screw axis or a sliding reflection plane).	As you can see, in all cases, this is a transmission that has an open element of symmetry with a smaller step (a winding axis or a plane of sliding reflection).	As can be seen, in all cases, such contacts are met by a transmission in the direction of which there is an open element of symmetry with a smaller step (a swivel axis or a sliding reflection plane).
плотность дефектов упаковки	stacking fault density	Дифракционные максимумы в случае всех исследованных ИОПС хорошо выражены, достаточно узкие и наблюдаются в “идеальных” ГЦК-позициях, значит, плотность дефектов упаковки достаточно низкая.	The diffraction maxima for all investigated IOLSs are well-pronounced, fairly narrow, and observed in “ideal” fcc sites; therefore, the stacking fault density is sufficiently low.	Diphgeal maximums in the case of all IPS investigated are well expressed, quite narrow and are observed in “ideal” GCCs, which means that the density of the defects of the packaging is quite low.	The diffraction maxims in all the iops studied are well expressed, sufficiently narrow and observed in ideal gttc-positions, meaning the density of packaging defects is low enough.	The diffuse maximums for all the yops studied are well expressed, sufficiently narrow and present in the.. appropriate. gts positions, so the density of the defects in the package is sufficiently low.
плотность потока ионов	ion flux density	Следует обратить внимание на тот факт, что хотя плотность потока атомов на катоде значительно превышает плотность потока ионов, однако вклад во вторичную эмиссию с катода ионов и быстрых атомов отличается заметно в меньшей степени.	It should be noted that, although the atom flux density at the cathode exceeds significantly the ion flux density, the ion and fast atom contributions to the secondary emission from the cathode differ to a much less extent.	Attention should be paid to the fact that although the density of the flow of atoms on the cathode significantly exceeds the density of the flow of ions, however, the contribution to the secondary emission from the cathode of ions and fast atoms is noticeably to a lesser extent.	It should be noted that although the density of the flow of atoms at the cathode is significantly greater than the density of the flow of ions, the contribution to secondary emission from the cathode of ions and fast atoms is noticeably less.	Attention should be drawn to the fact that while the flow density of atoms on cathodes is significantly higher than that of ions, the contribution to secondary emissions from ions and fast atoms is markedly less pronounced.
